uid,up_name,followers,n_videos,avg_play,med_play,std_play,avg_comment_scraped,med_comment_scraped,avg_danmaku,med_danmaku,avg_title_len,avg_desc_len,avg_length,std_length,danmaku_missing_rate,upload_freq,sentiment_mean_comment,sentiment_std_comment,sentiment_mean_danmaku,sentiment_std_danmaku,comment_topic_diversity,danmaku_topic_diversity,content_cohesion,comment_repetition,danmaku_repetition,comment_semantic_cohesion,danmaku_semantic_cohesion,label_binary
8482768,ZEALER官方频道,877012,20,56239.8,29831.5,66192.62452044987,69.75,71.5,257.65,72.5,30.2,78.6,817.65,929.6953250223544,0.0,5.9405940594059405,0.6133192217691825,0.2982298593104967,0.6809522538062192,0.3196535763106807,0.3956933609085178,1.163307524867977,0.5788542628288269,0.3515752051737831,0.3341115434500648,0.4807878136634826,0.5318076014518738,0
10399934,白泽talk,4999,20,3692.75,2870.5,2849.5317967214046,18.8,14.0,4.15,0.0,28.6,173.75,1948.2,1534.729449841413,0.65,1.5789473684210529,0.7160219200787709,0.2520706265989039,0.7058031655040132,0.2673719260282259,1.5339485299234616,1.94472533845508,0.5938027501106262,0.3754919007961929,0.7799043062200957,0.4987328648567199,0.6371510028839111,1
11253297,多多poi丶,3027399,20,262242.95,169996.0,230556.2390847233,99.7,101.0,302.7,200.0,22.55,74.95,396.75,345.03483805796225,0.0,2.158273381294964,0.6661792143062131,0.2312751722882818,0.7064794456710234,0.2993205276487831,0.3205602653214067,0.778958396314642,0.6343455910682678,0.3975812784670959,0.410047607116011,0.6043635010719299,0.6312804818153381,0
12807175,法老爷爷,1900407,20,591235.35,63870.0,1532846.7925987383,100.5,100.5,612.6,123.0,20.5,36.2,516.05,797.4366482014335,0.0,2.6200873362445414,0.6743932879316755,0.2404343731774041,0.7541827245204491,0.276535922786209,1.3421211011941374,1.0500988833288625,0.7305324077606201,0.4009288859400446,0.41926,0.5834073424339294,0.5931318998336792,0
12890453,程序员鱼皮,707383,20,63845.6,33253.5,80355.61946707177,80.05,100.0,92.45,46.0,22.8,181.85,452.55,296.39846490830547,0.0,9.67741935483871,0.6390274503962867,0.2707892076344406,0.5616742067158388,0.3285034088074403,0.0453513556963209,1.0415642480325435,0.5416445136070251,0.3634061732458917,0.3349784731702194,0.4926694929599762,0.5487741827964783,0
13164144,魔法Zc目录,3179136,20,705801.55,577022.5,371871.788668519,101.0,101.0,619.5,247.5,47.4,60.45,1787.75,1464.964266673962,0.0,9.523809523809524,0.6287043366599644,0.2540748987021237,0.5969654507818538,0.2978244044203766,0.0503326019270056,0.5022694093739214,0.8036679029464722,0.3667447916666667,0.3326800783905931,0.5732508897781372,0.6014220118522644,0
18343098,河野华,3229028,20,2017937.45,1488778.5,1630862.1414243798,101.0,101.0,1241.6,980.0,16.4,73.9,447.85,563.4635630119354,0.0,1.5957446808510638,0.6725320656009314,0.2368749436140542,0.6942928336149222,0.3029507538994541,0.8123436524579519,1.0831638795320735,0.6336284875869751,0.4251898168825368,0.5845083098338033,0.6174945831298828,0.6427319049835205,0
20713882,单依纯,1254701,20,1073989.7,738515.0,1390579.6492536978,100.9,101.0,1108.0,1200.0,20.75,2.65,456.15,438.9276735768422,0.0,5.0,0.7142888499733995,0.2530361444530656,0.7239504918850083,0.256894168794653,1.8288682786777568,1.1803803923687737,0.7112261056900024,0.3897559505875264,0.50928,0.5992285013198853,0.6562459468841553,0
21149898,林森小朋友,777281,20,145215.55,68289.0,227169.9958411565,66.7,67.5,53.0,23.5,18.5,1.0,232.1,143.5863576572063,0.05,3.409090909090909,0.7880204826666006,0.2303404702633047,0.7663743078849226,0.2642049794203286,1.83493466007134,1.643219843571722,0.7286010384559631,0.4267527562892124,0.4290041650889814,0.5904697179794312,0.647549033164978,0
23408614,互联网产品小龙虾,26973,20,1441.8,1110.5,939.3090741827768,8.05,3.5,0.15,0.0,29.45,93.25,1887.4,1281.6769606960045,0.85,8.955223880597014,0.7455649557320968,0.1582275939613952,0.2514167154828707,0.1929050914665765,1.8778746171823235,0.0,0.7218350172042847,0.6866485013623979,1.0,0.6661291718482971,0.628795325756073,1
23920239,小米公司,3161224,20,105298.85,57175.0,131329.22593810805,100.9,101.0,229.05,113.0,19.1,80.7,547.0,1170.7084225059268,0.0,3.1088082901554404,0.5916140314952606,0.26897798674011,0.6312813025550976,0.3320300183630409,1.7488739327725775,0.6072561265492883,0.5934863686561584,0.3892295844148435,0.3552966101694915,0.529530942440033,0.5542181134223938,0
23947287,小约翰可汗,10318067,20,4959200.4,4997191.5,986389.1395952262,101.0,101.0,4500.0,3600.0,19.75,92.0,2299.2,248.8962159531348,0.0,3.278688524590164,0.682281040239821,0.230218429694971,0.658236657040235,0.3040005661086601,1.6340129072054004,1.104435147491461,0.5824447870254517,0.3926966907736138,0.3261882385875107,0.5431661605834961,0.5695086717605591,0
