uid,up_name,followers,n_videos,avg_play,med_play,std_play,avg_comment_scraped,med_comment_scraped,avg_danmaku,med_danmaku,avg_title_len,avg_desc_len,avg_length,std_length,danmaku_missing_rate,upload_freq,sentiment_mean_comment,sentiment_std_comment,sentiment_mean_danmaku,sentiment_std_danmaku,comment_topic_diversity,danmaku_topic_diversity,content_cohesion,comment_repetition,danmaku_repetition,comment_semantic_cohesion,danmaku_semantic_cohesion,pca_x,pca_y,cluster,label_binary
50381841,大头大头大头儿子,333804,20,196125.55,84288.0,324549.3614883120,79.45,79.5,81.85,34.5,25.8,103.75,260.85,108.53147736462200,0.0,1.0526315789473700,0.7097087534305110,0.2428120970107920,0.701201655027538,0.2917495972552130,0.6928599285843410,1.1857775448023200,0.6094118356704710,0.3925809617271840,0.4019945387629110,0.5488316416740420,0.6073830127716060,-0.3716892414629370,-0.0273913928521549,3,1
65564239,IT咖啡馆,256747,20,90814.65,67258.5,81061.08429760010,73.4,83.0,37.75,31.0,29.85,56.5,270.35,76.24632864327930,0.0,2.955665024630540,0.6443807760009930,0.2536363056667390,0.6880520360630670,0.3226072790724560,0.4588032112715560,1.2730227656410500,0.6050268411636350,0.3802317332702770,0.3795620437956200,0.5417500734329220,0.6060182452201840,-0.4755008369212440,-0.0421583938014343,3,1
66607740,宋浩老师官方,10023499,20,3233167.2,296608.5,12419473.01215710,81.75,100.5,441.45,108.0,22.9,46.9,42007.35,88579.13081430870,0.0999999999999999,1.477832512315270,0.7062993549699080,0.2187683494760430,0.8417126083522290,0.2327265690450270,1.5054178635968900,1.291870376751210,0.6648664474487310,0.4239903603218410,0.4759954493742890,0.582467257976532,0.6427111625671390,1.597147027613900,9.06085777005187,1,0
88461692,3Blue1Brown,2524737,20,302641.3,276878.0,193546.81841627700,100.0,101.0,656.35,534.0,25.6,207.15,1461.15,559.6165298901700,0.0,0.8522727272727270,0.7017088512815540,0.2406568291513720,0.6599346418169600,0.2948969971908410,1.7487988610971200,1.1353821336048000,0.660365879535675,0.3501359673678320,0.3018328636245530,0.5089794397354130,0.5328593254089360,0.4064353874284770,0.0226520151131361,3,1
109606796,鹅姐职场,377674,20,3553.95,2689.5,2252.150141648270,4.75,3.5,6.15,6.0,18.5,67.15,154.35,16.537914970725500,0.0,4.316546762589930,0.7792021722385760,0.2041771010966430,0.7103064113516150,0.2808397591180910,1.803708121387100,1.4611861318007900,0.7045145630836490,0.427208627125674,0.4692307692307690,0.5840989947319030,0.6619710326194760,-1.3048134445632200,-0.2152903586110970,3,0
146865230,大厂Man,6498,20,1816.4,894.0,2628.009160442260,9.45,2.0,2.85,3.0,19.65,1.0,274.85,165.588988637212,0.2000000000000000,5.825242718446600,0.6805585971663870,0.2542408756618040,0.927812587796596,0.0525779227383354,1.6539023641033100,0.8706392834609250,0.6026293039321900,0.4165040423752440,1.0,0.5360831618309020,0.9781670570373540,-1.4500215987429300,-0.2733469741700480,0,0
217107039,AI产品经理PMGao,84575,20,16322.85,5882.5,28325.323853353700,21.8,17.0,4.15,0.5,23.1,63.75,2763.95,3538.042492901820,0.5,3.2432432432432400,0.6908353811147020,0.2674885639604180,0.5254116551165120,0.3382176670910720,1.4309476602199600,1.715409559955920,0.7833276987075810,0.36126769384943,0.464041095890411,0.4901250302791600,0.5286254286766050,-1.4867208001117000,0.0539505846027741,0,0
232472043,DJI大疆创新,1396904,20,78257.45,6572.5,218342.6435180980,47.25,34.0,53.1,19.5,19.4,84.95,25.05,19.959102922568500,0.0,75.0,0.6329265686693210,0.2772879970405810,0.926875129815633,0.1614477100961430,0.3729784390728800,0.5319239953813680,0.5199292898178100,0.4026138279932550,0.7683080808080810,0.5339636206626890,0.924307942390442,-0.9634126467151850,-0.3108020588534860,3,1
261485584,HOPICO,2436817,20,1772827.6,878197.5,3407838.005951440,100.85,101.0,2587.2,2353.5,27.75,69.8,1544.25,577.543425116014,0.0,3.896103896103900,0.7487792028931470,0.2381765002000840,0.7584638978224430,0.2762187773204240,0.8109132359692870,1.172740926957880,0.6872991323471070,0.3879419636568530,0.3471661133554660,0.5721614360809330,0.6143990755081180,2.4617220519804000,-0.3870311726925480,3,1
286187082,大耳朵TV,1079036,20,183089.55,155092.0,114649.0124512640,100.8,101.0,518.95,458.0,58.4,26.6,582.95,236.2481913046890,0.0,18.181818181818200,0.5839508711057810,0.2812435752320130,0.5624863485969810,0.3238615555883420,1.7970858353772800,0.376602184447125,0.7089701890945440,0.3865644941660210,0.3505006295341450,0.4943082630634310,0.521629273891449,0.1109492963579340,-0.0777376578859491,3,1
