uid,up_name,followers,label_binary,avg_comment_scraped,avg_danmaku,avg_length,avg_play,comment_repetition,danmaku_missing_rate,med_danmaku,med_play,std_length,upload_freq,model_prob_high,model_pred_label,confidence,shap_sum,shap_norm,value_score,score_percentile,score_bucket
347128576,ZeQAQ,1819,0,39.9,4.5,1858.4,6315.85,0.390198147496776,0.5,1.0,3960.5,605.562148577232,6.0,0.36666666666666664,0,0.6333333333333333,-0.13706558945737737,0.4585152838427945,54.59243085880638,15.267175572519085,Bottom 20%
352091301,陶喆的音乐产房,1007695,1,100.55,460.25,427.2,106745.05,0.417120833458794,0.0,467.5,82951.5,302.730486354482,5.08474576271186,0.69,1,0.69,0.1862677438759558,0.8820960698689952,78.60480349344977,80.53435114503816,Top 20%
355804646,宅宅小霸王,174139,1,95.2,108.8,327.0,53394.4,0.394019547756524,0.0,89.5,39881.0,103.921529100213,4.10958904109589,0.69,1,0.69,0.18626774387595596,0.8820960698689955,78.60480349344977,80.53435114503816,Top 20%
383433896,教日语的阿飞老师,1275269,0,17.45,8.6,1934.75,5068.2,0.457906570072446,0.4,2.5,3875.0,1419.87545321115,9.52380952380952,0.4266666666666667,0,0.5733333333333333,-0.07706558945737745,0.5371179039301306,55.522561863173195,27.480916030534353,Middle 60%
386112702,美芳Mia,10697,0,6.6,2.65,2050.2,3980.85,0.413504189255791,0.5,0.5,3663.0,2539.10493139444,0.99009900990099,0.36333333333333334,0,0.6366666666666667,-0.1403989227907107,0.45414847161572025,54.54075691411935,9.923664122137405,Bottom 20%
386917389,AI编程布道者-金角大王,197607,0,7.25,1.2,90.6,6581.75,0.366222760290557,0.65,0.0,1338.0,60.2795243232026,31.5789473684211,0.26666666666666666,0,0.7333333333333334,-0.23706558945737707,0.3275109170305677,53.04221251819505,6.870229007633588,Bottom 20%
388699948,欧阳娜娜Nana,1658029,1,70.0,141.9,392.95,132068.75,0.407174653050537,0.05,36.5,45822.5,293.68735166213,1.875,0.6166666666666667,1,0.6166666666666667,0.11293441054262265,0.7860262008733623,70.13464337700145,47.32824427480916,Middle 60%
400813602,Ayase-YOASOBI,1601566,0,51.15,108.95,199.45,176226.0,0.417940629297096,0.5,3.0,78478.5,116.886123168979,2.69058295964126,0.5633333333333334,1,0.5633333333333334,0.059601077209289255,0.7161572052401745,63.97452692867539,38.16793893129771,Middle 60%
401742377,原神,20205247,1,101.0,1104.35,676.85,1223293.0,0.393930826500801,0.0,916.0,952516.5,514.059187952077,29.2682926829268,0.74,1,0.74,0.23626774387595592,0.9475982532751089,84.37991266375545,93.51145038167938,Top 20%
431073645,你的影月月,9185177,1,99.3,259.25,916.5,363230.35,0.370679255179649,0.0,108.0,209154.0,1207.31600973748,30.0,0.75,1,0.75,0.24626774387595618,0.960698689956332,85.5349344978166,97.32824427480917,Top 20%
